id,Stock,Country,Sector,Population,Area,1 Mth Total Return,1 Mth Price change,Colouring,Latitude,Longitude,Pct away from Target Price,Bambu Long Term Rank,Bambu Short Term Rank,,,Last Close,lol,Target Price,Quartile,1yr Total Return,Dividend Yield,Dividend Yield greater than 5pc,Region,Country,Ranking
1,China Construction Bank Corp,6.89,Financials,45,15,-0.002894356,Negative Return,2,19.01699038,72.8569893,0.29,20,45,43.85964912,,6.89,0939.HK,8.91922,4th Quartile,-0.118,0.046053943,Less than 5% Yield,Asia,China,Rest All
2,Galaxy Entertainment Group Ltd,51.6,Consumer Discretionary,89,15,-0.046210721,Negative Return,2,22.4949693,88.32467566,0.23,6,89,96.49122807,,51.6,0027.HK,63.75443,4th Quartile,-0.2359,0,No Dividend,Asia,Hong Kong,ST Rank: Top 25%
3,Hong Kong Exchanges and Clearing Ltd,266.6,Financials,64,16,0.107142857,Return Greater than 10%,1,24.86999229,66.99000891,0.11,52,64,71.92982456,,266.6,0388.HK,297.31019,3rd Quartile,-0.0357,0.023876937,Less than 5% Yield,Asia,Hong Kong,Rest All
4,Mcdonald's Corp,179.5,Consumer Discretionary,70,20,0.033663035,Between 0 and 10% Return,3,6.443261653,3.391531071,0.1,98,68,75.43859649,,179.5,MCD,197.69231,2nd Quartile,0.1704,0.029677084,Less than 5% Yield,Americas,US,ST Rank: Top 25%
5,Newmont Mining Corp,33.71,Materials,87,23,0.000366666,Between 0 and 10% Return,3,22.55237051,114.1221231,0.19,25,50,52.63157895,,33.71,NEM,40.35714,4th Quartile,-0.091,0.007859919,Less than 5% Yield,Americas,US,Rest All
6,Oversea-Chinese Banking Corporation Ltd,11.05,Financials,56,26,-0.037456446,Negative Return,2,37.5663491,126.999731,0.17,25,56,68.42105263,,11.05,OCBC.SI,13.0365,4th Quartile,-0.139,0.03569417,Less than 5% Yield,Asia,Singapore,Rest All
7,Procter & Gamble Co,98.41,Consumer Staples,60,27,0.007164057,Between 0 and 10% Return,3,25.03583333,121.5683333,0,100,46,45.61403509,,98.41,PG,98.07143,1st Quartile,0.2698,0.032212393,Less than 5% Yield,Americas,US,Rest All
8,Tencent Holdings Ltd,347,Technology,26,28,0.004050926,Between 0 and 10% Return,3,13.08998781,80.27999874,0.13,9,26,17.54385965,,347,0700.HK,394.37633,4th Quartile,-0.2221,0.002279392,Less than 5% Yield,Asia,China,ST Rank: Bottom 25%
9,Vodafone Group PLC,136.8,Telco,47,31,-0.013556389,Negative Return,2,4.596423563,-74.08334396,0.32,12,16,7.01754386,,136.8,VOD.L,180.86586,4th Quartile,-0.2878,0.063047703,Greater than 5% Yield,Europe,United Kingdom,ST Rank: Bottom 25%
10,Airbus SE,111.52,Industrials,61,31,0.115869522,Return Greater than 10%,1,31.21645245,121.4365047,0.14,64,61,70.1754386,,111.52,AIR.PA,127.95238,2nd Quartile,0.153,0.01828444,Less than 5% Yield,Europe,Netherlands,Rest All
